APB_LLRR_29|SERVEI_29|NUM_ESCALA_23|FECHA_ENTRADA|FECHA_SALIDA|NOM_VAIXELL_23
62||29238|11/10/2021 14;00|11/10/2021 20;00|ECO SAVONA
315||29152|01/10/2021 19;45|01/10/2021 22;30|ROSALIND FRANKLIN
329||29156|01/10/2021 18;00|01/10/2021 22;00|NAPOLES
57||28465|06/10/2021 06;00|06/10/2021 20;00|MSC HERMES
325||28212|05/10/2021 19;00|05/10/2021 22;00|ABEL MATUTES
341||29139|03/10/2021 18;00|03/10/2021 23;00|GNV BRIDGE
233||28494|01/10/2021 05;26|01/10/2021 20;00|NORA MAERSK
49||28079|28/10/2021 06;00|28/10/2021 16;00|AMILCAR
120||28941|07/10/2021 06;00|07/10/2021 20;00|MSC LEIGH
320||29216|05/10/2021 19;00|05/10/2021 22;45|CIUDAD DE PALMA
